"","Municipal","County","State","Region","Five_Year_Range","Pop_25","Margin_Error_Pop","Grad_Pct","Margin_Error_Grad","HS_Pct","Margin_Error_HS","Bachelors_Pct","Margin_Error_Bach","Five_Year_Range"
"129","Colrain","Franklin County","MA","Colrain","2006-2010",1281,"109",11.2,2.7,87.3,3.6,25.4,4,2010
"496","Colrain","Franklin County","MA","Colrain","2007-2011",1279,"101",10.6,2.2,87.6,3.3,25.3,4,2011
"863","Colrain","Franklin County","MA","Colrain","2008-2012",1258,"104",10.3,2.4,88.2,3.7,26,3.5,2012
"207","Concord","Middlesex County","MA","Concord","2006-2010",12403,"293",34,3.2,95,1,65.6,3.2,2010
"574","Concord","Middlesex County","MA","Concord","2007-2011",12598,"256",33.3,2.8,95.4,1.2,65.3,2.9,2011
"941","Concord","Middlesex County","MA","Concord","2008-2012",12858,"339",34.7,3,94.8,0.9,66,2.7,2012
"130","Conway","Franklin County","MA","Conway","2006-2010",1335,"107",28.1,4.4,96,1.5,56.3,5,2010
"497","Conway","Franklin County","MA","Conway","2007-2011",1287,"100",28,4.8,96.4,1.3,54.1,5.1,2011
"864","Conway","Franklin County","MA","Conway","2008-2012",1374,"111",27.4,4.5,96.6,1.3,52,4.7,2012
"177","Cummington","Hampshire County","MA","Cummington","2006-2010",707,"83",18.7,4.7,94.6,3.3,41.3,6.4,2010
"544","Cummington","Hampshire County","MA","Cummington","2007-2011",727,"68",17.3,4.3,96.6,2.5,40.9,6.6,2011
"911","Cummington","Hampshire County","MA","Cummington","2008-2012",719,"63",18.6,4.5,96.9,2.4,43.5,7,2012
