"","Municipal","State","C_year","AP003_001","AP003_002","AP003_003","AP003_004","AP003_005"
"21771","Southbridge","MA",2001,486,"Southbridge","10","Total, All Industries",6177
"21874","Southwick","MA",2001,447,"Southwick","10","Total, All Industries",2593
"21947","Spencer","MA",2001,517,"Spencer","10","Total, All Industries",3555
"22009","Springfield","MA",2001,431,"Springfield","10","Total, All Industries",79927
"22250","Sterling","MA",2001,177,"Sterling","10","Total, All Industries",2163
"22311","Stockbridge","MA",2001,393,"Stockbridge","10","Total, All Industries",1487
"22345","Stoneham","MA",2001,495,"Stoneham","10","Total, All Industries",8574
"22462","Stoughton","MA",2001,133,"Stoughton","10","Total, All Industries",12490
"22619","Stow","MA",2001,273,"Stow","10","Total, All Industries",2146
"22674","Sturbridge","MA",2001,487,"Sturbridge","10","Total, All Industries",5307
"22757","Sudbury","MA",2001,274,"Sudbury","10","Total, All Industries",7195
"22858","Sunderland","MA",2001,202,"Sunderland","10","Total, All Industries",599
"22880","Sutton","MA",2001,488,"Sutton","10","Total, All Industries",1529
"22935","Swampscott","MA",2001,255,"Swampscott","10","Total, All Industries",3351
"23009","Swansea","MA",2001,154,"Swansea","10","Total, All Industries",5611
"23112","Taunton","MA",2001,461,"Taunton","10","Total, All Industries",24018
"23288","Templeton","MA",2001,10,"Templeton","10","Total, All Industries",1667
"23322","Tewksbury","MA",2001,247,"Tewksbury","10","Total, All Industries",16108
"23448","Tisbury","MA",2001,316,"Tisbury","10","Total, All Industries",2330
"23547","Tolland","MA",2001,448,"Tolland","10","Total, All Industries",48
"23549","Topsfield","MA",2001,423,"Topsfield","10","Total, All Industries",2449
"23622","Townsend","MA",2001,178,"Townsend","10","Total, All Industries",2229
"23675","Truro","MA",2001,44,"Truro","10","Total, All Industries",505
"23705","Tyngsborough","MA",2001,248,"Tyngsborough","10","Total, All Industries",4081
"23784","Tyringham","MA",2001,394,"Tyringham","10","Total, All Industries",30
"23787","Upton","MA",2001,293,"Upton","10","Total, All Industries",1031
"23836","Uxbridge","MA",2001,294,"Uxbridge","10","Total, All Industries",2861
"23912","Wakefield","MA",2001,74,"Wakefield","10","Total, All Industries",14920
"24070","Wales","MA",2001,449,"Wales","10","Total, All Industries",124
"24078","Walpole","MA",2001,369,"Walpole","10","Total, All Industries",9677
"24211","Waltham","MA",2001,471,"Waltham","10","Total, All Industries",60780
"24417","Ware","MA",2001,450,"Ware","10","Total, All Industries",2691
"24481","Wareham","MA",2001,317,"Wareham","10","Total, All Industries",6794
"24606","Warren","MA",2001,452,"Warren","10","Total, All Industries",1209
"24632","Warwick","MA",2001,12,"Warwick","10","Total, All Industries",112
"24633","Washington","MA",2001,395,"Washington","10","Total, All Industries",145
"24636","Watertown","MA",2001,93,"Watertown","10","Total, All Industries",20381
"24792","Wayland","MA",2001,478,"Wayland","10","Total, All Industries",4030
"24866","Webster","MA",2001,481,"Webster","10","Total, All Industries",6629
"24958","Wellesley","MA",2001,94,"Wellesley","10","Total, All Industries",19678
"25091","Wellfleet","MA",2001,45,"Wellfleet","10","Total, All Industries",952
"25129","Wendell","MA",2001,203,"Wendell","10","Total, All Industries",228
"25134","Wenham","MA",2001,424,"Wenham","10","Total, All Industries",1294
"25163","West Boylston","MA",2001,519,"West Boylston","10","Total, All Industries",3531
"25232","West Bridgewater","MA",2001,134,"West Bridgewater","10","Total, All Industries",6775
"25313","West Brookfield","MA",2001,520,"West Brookfield","10","Total, All Industries",933
"25338","West Newbury","MA",2001,327,"West Newbury","10","Total, All Industries",701
"25371","West Springfield","MA",2001,454,"West Springfield","10","Total, All Industries",18085
"25532","West Stockbridge","MA",2001,396,"West Stockbridge","10","Total, All Industries",262
"25557","West Tisbury","MA",2001,318,"West Tisbury","10","Total, All Industries",627
"25589","Westborough","MA",2001,518,"Westborough","10","Total, All Industries",24549
"25730","Westfield","MA",2001,453,"Westfield","10","Total, All Industries",16290
"25884","Westford","MA",2001,249,"Westford","10","Total, All Industries",12333
"25988","Westhampton","MA",2001,358,"Westhampton","10","Total, All Industries",253
"25997","Westminster","MA",2001,179,"Westminster","10","Total, All Industries",3266
"26050","Weston","MA",2001,479,"Weston","10","Total, All Industries",3503
"26121","Westport","MA",2001,155,"Westport","10","Total, All Industries",3075
"26212","Westwood","MA",2001,370,"Westwood","10","Total, All Industries",9273
"26313","Weymouth","MA",2001,409,"Weymouth","10","Total, All Industries",16991
"26472","Whately","MA",2001,204,"Whately","10","Total, All Industries",2052
"26486","Whitman","MA",2001,135,"Whitman","10","Total, All Industries",3140
"26558","Wilbraham","MA",2001,455,"Wilbraham","10","Total, All Industries",3975
"26637","Williamsburg","MA",2001,359,"Williamsburg","10","Total, All Industries",566
"26667","Williamstown","MA",2001,338,"Williamstown","10","Total, All Industries",4217
"26732","Wilmington","MA",2001,496,"Wilmington","10","Total, All Industries",22430
"26874","Winchendon","MA",2001,180,"Winchendon","10","Total, All Industries",1840
"26931","Winchester","MA",2001,497,"Winchester","10","Total, All Industries",7850
"27029","Windsor","MA",2001,397,"Windsor","10","Total, All Industries",74
"27036","Winthrop","MA",2001,143,"Winthrop","10","Total, All Industries",2309
"27112","Woburn","MA",2001,491,"Woburn","10","Total, All Industries",40032
"27331","Worcester","MA",2001,501,"Worcester","10","Total, All Industries",100977
"27592","Worthington","MA",2001,360,"Worthington","10","Total, All Industries",204
"27601","Wrentham","MA",2001,27,"Wrentham","10","Total, All Industries",5246
"27690","Yarmouth","MA",2001,46,"Yarmouth","10","Total, All Industries",8877
"27818","Abington","MA",2002,112,"Abington","10","Total, All Industries",4166
"27892","Acton","MA",2002,472,"Acton","10","Total, All Industries",9775
"28033","Acushnet","MA",2002,302,"Acushnet","10","Total, All Industries",2255
"28079","Adams","MA",2002,332,"Adams","10","Total, All Industries",2131
"28142","Agawam","MA",2002,432,"Agawam","10","Total, All Industries",11518
"28268","Alford","MA",2002,372,"Alford","10","Total, All Industries",38
"28273","Amesbury","MA",2002,322,"Amesbury","10","Total, All Industries",4652
"28369","Amherst","MA",2002,342,"Amherst","10","Total, All Industries",12585
"28502","Andover","MA",2002,232,"Andover","10","Total, All Industries",32846
"28636","Aquinnah","MA",2002,307,"Aquinnah","10","Total, All Industries",73
"28642","Arlington","MA",2002,62,"Arlington","10","Total, All Industries",8334
"28773","Ashburnham","MA",2002,162,"Ashburnham","10","Total, All Industries",1088
"28807","Ashby","MA",2002,163,"Ashby","10","Total, All Industries",259
"28830","Ashfield","MA",2002,182,"Ashfield","10","Total, All Industries",248
"28844","Ashland","MA",2002,262,"Ashland","10","Total, All Industries",4543
"28938","Athol","MA",2002,1,"Athol","10","Total, All Industries",3595
"29014","Attleboro","MA",2002,21,"Attleborough","10","Total, All Industries",20418
"29159","Auburn","MA",2002,502,"Auburn","10","Total, All Industries",10807
"29274","Avon","MA",2002,113,"Avon","10","Total, All Industries",6292
"29347","Ayer","MA",2002,164,"Ayer","10","Total, All Industries",6393
"29438","Barnstable","MA",2002,31,"Barnstable","10","Total, All Industries",28213
"29633","Barre","MA",2002,2,"Barre","10","Total, All Industries",1183
"29681","Becket","MA",2002,373,"Becket","10","Total, All Industries",350
"29695","Bedford","MA",2002,473,"Bedford","10","Total, All Industries",20250
"29811","Belchertown","MA",2002,343,"Belchertown","10","Total, All Industries",2104
"29877","Bellingham","MA",2002,282,"Bellingham","10","Total, All Industries",5038
"29961","Belmont","MA",2002,63,"Belmont","10","Total, All Industries",6482
"30066","Berkley","MA",2002,462,"Berkley","10","Total, All Industries",562
"30095","Berlin","MA",2002,263,"Berlin","10","Total, All Industries",659
"30128","Bernardston","MA",2002,183,"Bernardston","10","Total, All Industries",418
