"Municipal","State","Year","Average_Monthly_Employment","Average_Weekly_Wage","Number_of_Employer_Establishments","Total_Wages_Paid_to_All_Workers","Inflation_Adjusted_Average_Weekly_Wage","Change","Employment_Change_Pct","Establishment_Change","Establishment_Change_Pct","Average_Weekly_Wage_Change","Average_Weekly_Wage_Change_Pct"
"Stow","MA",2011,1947,1054,210,106710205,1076,0.907269338303821,90.7269338303821,1.03960396039604,103.960396039604,0.693745970341715,69.3745970341715
"Stow","MA",2012,1996,1070,203,111024976,1070,0.930102516309413,93.0102516309413,1.0049504950495,100.495049504951,0.689877498388137,68.9877498388137
"Sturbridge","MA",2001,5307,537,303,148076235,696,1,100,1,100,1,100
"Sturbridge","MA",2002,5271,518,314,141889471,661,0.993216506500848,99.3216506500848,1.03630363036304,103.630363036304,0.949712643678161,94.9712643678161
"Sturbridge","MA",2003,4995,518,331,134516406,646,0.941209723007349,94.1209723007349,1.09240924092409,109.240924092409,0.92816091954023,92.816091954023
"Sturbridge","MA",2004,4845,517,341,130333238,628,0.912945166760882,91.2945166760882,1.12541254125413,112.541254125413,0.902298850574713,90.2298850574713
"Sturbridge","MA",2005,4852,523,336,131955931,615,0.914264179385717,91.4264179385717,1.10891089108911,110.891089108911,0.883620689655172,88.3620689655172
"Sturbridge","MA",2006,4646,543,326,131175599,618,0.875447522140569,87.5447522140569,1.07590759075908,107.590759075908,0.887931034482759,88.7931034482759
"Sturbridge","MA",2007,4737,569,335,140110996,630,0.892594686263426,89.2594686263426,1.10561056105611,110.561056105611,0.905172413793103,90.5172413793103
"Sturbridge","MA",2008,4654,590,325,142715278,629,0.876954965140381,87.6954965140381,1.07260726072607,107.260726072607,0.903735632183908,90.3735632183908
"Sturbridge","MA",2009,4441,601,321,138849002,643,0.836819295270398,83.6819295270398,1.05940594059406,105.940594059406,0.923850574712644,92.3850574712644
"Sturbridge","MA",2010,4596,610,339,145895550,642,0.866026003391747,86.6026003391747,1.11881188118812,111.881188118812,0.922413793103448,92.2413793103448
"Sturbridge","MA",2011,4754,615,347,152044137,628,0.895798002638025,89.5798002638025,1.14521452145215,114.521452145215,0.902298850574713,90.2298850574713
"Sturbridge","MA",2012,4700,637,334,155755014,637,0.885622762389297,88.5622762389297,1.1023102310231,110.23102310231,0.915229885057471,91.5229885057471
"Sudbury","MA",2001,7195,940,594,351842292,1219,1,100,1,100,1,100
"Sudbury","MA",2002,7350,937,629,357917427,1196,1.02154273801251,102.154273801251,1.05892255892256,105.892255892256,0.981132075471698,98.1132075471698
"Sudbury","MA",2003,7508,959,651,374337289,1197,1.04350243224461,104.350243224461,1.0959595959596,109.59595959596,0.981952420016407,98.1952420016407
"Sudbury","MA",2004,7481,993,652,386408235,1207,1.03974982626824,103.974982626824,1.0976430976431,109.76430976431,0.990155865463495,99.0155865463495
"Sudbury","MA",2005,7690,1028,608,410979443,1209,1.0687977762335,106.87977762335,1.02356902356902,102.356902356902,0.991796554552912,99.1796554552912
"Sudbury","MA",2006,7954,1075,603,444468297,1224,1.10548992355803,110.548992355803,1.01515151515152,101.515151515152,1.00410172272354,100.410172272354
"Sudbury","MA",2007,8141,1141,604,483008019,1263,1.13148019457957,113.148019457957,1.01683501683502,101.683501683502,1.03609515996719,103.609515996719
"Sudbury","MA",2008,8198,1175,604,500831662,1253,1.13940236275191,113.940236275191,1.01683501683502,101.683501683502,1.0278917145201,102.78917145201
"Sudbury","MA",2009,8000,1152,615,479425585,1233,1.11188325225851,111.188325225851,1.03535353535354,103.535353535354,1.01148482362592,101.148482362592
"Sudbury","MA",2010,8107,1169,644,492823483,1231,1.12675469075747,112.675469075747,1.08417508417508,108.417508417508,1.00984413453651,100.984413453651
"Sudbury","MA",2011,7375,1299,660,498017433,1326,1.02501737317582,102.501737317582,1.11111111111111,111.111111111111,1.08777686628384,108.777686628384
"Sudbury","MA",2012,7258,1359,647,512895768,1359,1.00875608061154,100.875608061154,1.08922558922559,108.922558922559,1.11484823625923,111.484823625923
