"","Municipal","State","Year","Region","Industry_Title","Average_Monthly_Employment"
"388","Braintree","MA",2002,"Braintree","Total, All Industries",29465
"389","Brewster","MA",2002,"Brewster","Total, All Industries",2571
"390","Bridgewater","MA",2002,"Bridgewater","Total, All Industries",7345
"391","Brimfield","MA",2002,"Brimfield","Total, All Industries",501
"392","Brockton","MA",2002,"Brockton","Total, All Industries",38182
"393","Brookfield","MA",2002,"Brookfield","Total, All Industries",523
"394","Brookline","MA",2002,"Brookline","Total, All Industries",14845
"395","Buckland","MA",2002,"Buckland","Total, All Industries",503
"396","Burlington","MA",2002,"Burlington","Total, All Industries",35894
"397","Cambridge","MA",2002,"Cambridge","Total, All Industries",105662
"398","Canton","MA",2002,"Canton","Total, All Industries",20469
"399","Carlisle","MA",2002,"Carlisle","Total, All Industries",831
"400","Carver","MA",2002,"Carver","Total, All Industries",2592
"401","Charlemont","MA",2002,"Charlemont","Total, All Industries",325
"402","Charlton","MA",2002,"Charlton","Total, All Industries",2962
"403","Chatham","MA",2002,"Chatham","Total, All Industries",3061
"404","Chelmsford","MA",2002,"Chelmsford","Total, All Industries",22210
"405","Chelsea","MA",2002,"Chelsea","Total, All Industries",13665
"406","Cheshire","MA",2002,"Cheshire","Total, All Industries",307
"407","Chester","MA",2002,"Chester","Total, All Industries",128
"408","Chesterfield","MA",2002,"Chesterfield","Total, All Industries",124
"409","Chicopee","MA",2002,"Chicopee","Total, All Industries",20226
"410","Chilmark","MA",2002,"Chilmark","Total, All Industries",300
"411","Clarksburg","MA",2002,"Clarksburg","Total, All Industries",229
"412","Clinton","MA",2002,"Clinton","Total, All Industries",4693
"413","Cohasset","MA",2002,"Cohasset","Total, All Industries",2469
"414","Colrain","MA",2002,"Colrain","Total, All Industries",253
"415","Concord","MA",2002,"Concord","Total, All Industries",12505
"416","Conway","MA",2002,"Conway","Total, All Industries",184
"417","Cummington","MA",2002,"Cummington","Total, All Industries",284
"418","Dalton","MA",2002,"Dalton","Total, All Industries",2192
"419","Danvers","MA",2002,"Danvers","Total, All Industries",23836
"420","Dartmouth","MA",2002,"Dartmouth","Total, All Industries",14122
"421","Dedham","MA",2002,"Dedham","Total, All Industries",14493
"422","Deerfield","MA",2002,"Deerfield","Total, All Industries",3872
"423","Dennis","MA",2002,"Dennis","Total, All Industries",4953
"424","Dighton","MA",2002,"Dighton","Total, All Industries",1875
"425","Douglas","MA",2002,"Douglas","Total, All Industries",862
"426","Dover","MA",2002,"Dover","Total, All Industries",812
"427","Dracut","MA",2002,"Dracut","Total, All Industries",4848
"428","Dudley","MA",2002,"Dudley","Total, All Industries",2790
"429","Dunstable","MA",2002,"Dunstable","Total, All Industries",302
"430","Duxbury","MA",2002,"Duxbury","Total, All Industries",2649
"431","East Bridgewater","MA",2002,"East Bridgewater","Total, All Industries",2827
"432","East Brookfield","MA",2002,"East Brookfield","Total, All Industries",398
"433","East Longmeadow","MA",2002,"East Longmeadow","Total, All Industries",9220
"434","Eastham","MA",2002,"Eastham","Total, All Industries",1122
"435","Easthampton","MA",2002,"Easthampton","Total, All Industries",4557
"436","Easton","MA",2002,"Easton","Total, All Industries",9275
"437","Edgartown","MA",2002,"Edgartown","Total, All Industries",2092
"438","Egremont","MA",2002,"Egremont","Total, All Industries",198
