"","school","org.code","lon","lat"
"336","Mary E. Baker School School Brockton MA","00440002",-71.026175,42.60758
"337","North Middle School School Brockton MA","00440410",-70.910764,41.892981
"338","Oscar F Raymond School Brockton MA","00440078",-71.026175,42.60758
"339","South Middle School School Brockton MA","00440415",-70.910764,41.892981
"340","West Middle School School Brockton MA","00440420",-71.395479,42.14186
"341","Brooke Charter School East Boston School Boston MA","04570205",-73.373436,42.193858
"342","Brooke Charter School Mattapan School Boston MA","04430205",-71.093623,42.276413
"343","Brooke Charter School Roslindale School Boston MA","04280305",-71.133316,42.285023
"344","Brookfield Elementary School Brookfield MA","00450005",-72.117643,42.220451
"345","Brookline Early Education Program at Beacon School Brookline MA","00460001",-71.11417,42.3324
"346","Brookline High School Brookline MA","00460505",-71.110894,42.335505
"347","Edith C Baker School Brookline MA","00460005",-71.1465,42.2994
"348","Edward Devotion School Brookline MA","00460015",-71.121881,42.345512
"349","Heath School Brookline MA","00460025",-71.143635,42.325483
"350","John D Runkle School Brookline MA","00460045",-71.119779,42.34324
"351","Lawrence School Brookline MA","00460030",-71.161797,42.708469
"352","Michael Driscoll School Brookline MA","00460020",-71.12052,42.335969
"353","Pierce School Brookline MA","00460040",-71.11908,42.33439
"354","The Lynch Center School Brookline MA","00460060",-73.28112,42.355725
"355","William H Lincoln School Brookline MA","00460035",-71.281722,42.407609
"356","Burlington High School Burlington MA","00480505",-71.194803,42.491313
"357","Fox Hill School Burlington MA","00480007",-71.197006,42.518588
"358","Francis Wyman Elementary School Burlington MA","00480035",-71.219785,42.524138
"359","Marshall Simonds Middle School Burlington MA","00480303",-71.210741,42.47096
"360","Memorial School Burlington MA","00480015",-71.129644,42.65574
"361","Pine Glen Elementary School Burlington MA","00480020",-71.202736,42.50342
"362","Amigos School School Cambridge MA","00490006",-71.09665,42.36389
"363","Cambridge Rindge and Latin School Cambridge MA","00490506",-71.075363,42.366907
"364","Cambridge Street Upper School School Cambridge MA","00490305",-71.12227,42.388366
"365","Cambridgeport School Cambridge MA","00490007",-71.142304,42.394632
"366","Fletcher/Maynard Academy School Cambridge MA","00490090",-71.473301,42.427569
"367","Graham and Parks School Cambridge MA","00490080",-71.114541,42.3808
"368","Haggerty School Cambridge MA","00490020",-71.09665,42.36389
"369","John M Tobin School Cambridge MA","00490065",-71.09665,42.36389
"370","Kennedy-Longfellow School Cambridge MA","00490040",-71.093277,42.369671
"371","King Open School Cambridge MA","00490035",-71.101339,42.370621
"372","Maria L. Baldwin School Cambridge MA","00490005",-72.063482,42.602321
"373","Martin Luther King Jr. School Cambridge MA","00490030",-71.119615,42.383356
"374","Morse School Cambridge MA","00490045",-71.09665,42.36389
"375","Peabody School Cambridge MA","00490050",-70.927174,42.526314
"376","Putnam Avenue Upper School School Cambridge MA","00490310",-71.113348,42.370097
"377","Rindge Avenue Upper School School Cambridge MA","00490315",-71.142304,42.394632
"378","Vassal Lane Upper School School Cambridge MA","00490320",-71.134352,42.381525
"379","Canton High School Canton MA","00500505",-71.15253,42.148509
"380","Dean S Luce School Canton MA","00500020",-71.13153,42.161159
"381","John F Kennedy School Canton MA","00500017",-71.112742,42.156838
"382","Lt Peter M Hansen School Canton MA","00500012",-71.15307,42.16639
"383","Rodman Early Childhood Center School Canton MA","00500010",-71.125522,42.178371
"384","Wm H Galvin Middle School Canton MA","00500305",-71.15307,42.16639
"385","Cape Cod Lighthouse Charter School School Harwich MA","04320530",-70.289472,41.636464
"386","Cape Cod Region Vocational Technical School Harwich MA","08150605",-70.304321,41.692498
"387","Carlisle School School Carlisle MA","00510025",-71.384034,42.541015
"388","Carver Elementary School School Carver MA","00520015",-70.767156,41.886297
"389","Carver Middle/High School School Carver MA","00520405",-70.767156,41.886297
"390","Becket Washington School School Becket MA","06350005",-73.11533,42.369064
"391","Berkshire Trail Elementary School Cummington MA","06350010",-72.856915,42.447988
"392","Craneville School Dalton MA","06350025",-71.926696,42.208782
"393","Kittredge School Hinsdale MA","06350035",-73.20463,42.475218
"394","Nessacus Regional Middle School School Dalton MA","06350305",-73.169424,42.472131
"395","Wahconah Regional High School Dalton MA","06350505",-73.159611,42.47426
